post_code,city,province
1000,Brussel,Brussels Hoofdstedelijk Gewest
1000,Bruxelles,Brussels Hoofdstedelijk Gewest
1030,Schaarbeek,Brussels Hoofdstedelijk Gewest
1030,Schaerbeek,Brussels Hoofdstedelijk Gewest
1040,Etterbeek,Brussels Hoofdstedelijk Gewest
1050,Elsene,Brussels Hoofdstedelijk Gewest
1050,Ixelles,Brussels Hoofdstedelijk Gewest
1060,Saint-Gilles,Brussels Hoofdstedelijk Gewest
1060,Sint-Gillis,Brussels Hoofdstedelijk Gewest
1070,Anderlecht,Brussels Hoofdstedelijk Gewest
1080,Molenbeek-Saint-Jean,Brussels Hoofdstedelijk Gewest
1080,Sint-Jans-Molenbeek,Brussels Hoofdstedelijk Gewest
1081,Koekelberg,Brussels Hoofdstedelijk Gewest
1082,Berchem-Sainte-Agathe,Brussels Hoofdstedelijk Gewest
1082,Sint-Agatha-Berchem,Brussels Hoofdstedelijk Gewest
1083,Ganshoren,Brussels Hoofdstedelijk Gewest
1090,Jette,Brussels Hoofdstedelijk Gewest
1140,Evere,Brussels Hoofdstedelijk Gewest
1150,Sint-Pieters-Woluwe,Brussels Hoofdstedelijk Gewest
1150,Woluwe-Saint-Pierre,Brussels Hoofdstedelijk Gewest
1160,Auderghem,Brussels Hoofdstedelijk Gewest
1160,Oudergem,Brussels Hoofdstedelijk Gewest
1170,Watermaal-Bosvoorde,Brussels Hoofdstedelijk Gewest
1170,Watermael-Boitsfort,Brussels Hoofdstedelijk Gewest
1180,Uccle,Brussels Hoofdstedelijk Gewest
1180,Ukkel,Brussels Hoofdstedelijk Gewest
1190,Forest,Brussels Hoofdstedelijk Gewest
1190,Vorst,Brussels Hoofdstedelijk Gewest
1200,Sint-Lambrechts-Woluwe,Brussels Hoofdstedelijk Gewest
1200,Woluwe-Saint-Lambert,Brussels Hoofdstedelijk Gewest
1210,Saint-Josse-ten-Noode,Brussels Hoofdstedelijk Gewest
1210,Sint-Joost-ten-Node,Brussels Hoofdstedelijk Gewest
1300,Wavre,Brabant wallon
1300,Waver,Brabant wallon
1310,La Hulpe,Brabant wallon
1310,Terhulpen,Brabant wallon
1315,Incourt,Brabant wallon
1320,Beauvechain,Brabant wallon
1320,Bevekom,Brabant wallon
1325,Chaumont-Gistoux,Brabant wallon
1330,Rixensart,Brabant wallon
1340,Ottignies-Louvain-la-Neuve,Brabant wallon
1350,Orp-Jauche,Brabant wallon
1357,Hélécine,Brabant wallon
1360,Perwez,Brabant wallon
1360,Perwijs,Brabant wallon
1367,Ramillies,Brabant wallon
1370,Jodoigne,Brabant wallon
1370,Geldenaken,Brabant wallon
1380,Lasne,Brabant wallon
1390,Grez-Doiceau,Brabant wallon
1390,Graven,Brabant wallon
1400,Nivelles,Brabant wallon
1400,Nijvel,Brabant wallon
1410,Waterloo,Brabant wallon
1420,Braine-l'Alleud,Brabant wallon
1420,Eigenbrakel,Brabant wallon
1430,Rebecq,Brabant wallon
1435,Mont-Saint-Guibert,Brabant wallon
1440,Braine-le-Château,Brabant wallon
1440,Kasteelbrakel,Brabant wallon
1450,Chastre,Brabant wallon
1457,Walhain,Brabant wallon
1460,Ittre,Brabant wallon
1460,Itter,Brabant wallon
1470,Genappe,Brabant wallon
1470,Genepiën,Brabant wallon
1480,Tubize,Brabant wallon
1480,Tubeke,Brabant wallon
1490,Court-Saint-Étienne,Brabant wallon
1495,Villers-la-Ville,Brabant wallon
1500,Halle,Vlaams-Brabant
1500,Hal,Vlaams-Brabant
1540,Herne,Vlaams-Brabant
1547,Bever,Vlaams-Brabant
1547,Biévène,Vlaams-Brabant
1560,Hoeilaart,Vlaams-Brabant
1570,Galmaarden,Vlaams-Brabant
1570,Gammerages,Vlaams-Brabant
1600,Sint-Pieters-Leeuw,Vlaams-Brabant
1620,Drogenbos,Vlaams-Brabant
1630,Linkebeek,Vlaams-Brabant
1640,Sint-Genesius-Rode,Vlaams-Brabant
1640,Rhode-Saint-Genèse,Vlaams-Brabant
1650,Beersel,Vlaams-Brabant
1670,Pepingen,Vlaams-Brabant
1700,Dilbeek,Vlaams-Brabant
1730,Asse,Vlaams-Brabant
1740,Ternat,Vlaams-Brabant
1745,Opwijk,Vlaams-Brabant
1750,Lennik,Vlaams-Brabant
1755,Gooik,Vlaams-Brabant
1760,Roosdaal,Vlaams-Brabant
1770,Liedekerke,Vlaams-Brabant
1780,Wemmel,Vlaams-Brabant
1785,Merchtem,Vlaams-Brabant
1790,Affligem,Vlaams-Brabant
1800,Vilvoorde,Vlaams-Brabant
1800,Vilvorde,Vlaams-Brabant
1820,Steenokkerzeel,Vlaams-Brabant
1830,Machelen,Vlaams-Brabant
1840,Londerzeel,Vlaams-Brabant
1850,Grimbergen,Vlaams-Brabant
1860,Meise,Vlaams-Brabant
1880,Kapelle-op-den-Bos,Vlaams-Brabant
1910,Kampenhout,Vlaams-Brabant
1930,Zaventem,Vlaams-Brabant
1950,Kraainem,Vlaams-Brabant
1970,Wezembeek-Oppem,Vlaams-Brabant
1980,Zemst,Vlaams-Brabant
2000,Antwerpen,Antwerpen
2000,Anvers,Antwerpen
2018,Antwerpen,Antwerpen
2018,Anvers,Antwerpen
2020,Antwerpen,Antwerpen
2020,Anvers,Antwerpen
2030,Antwerpen,Antwerpen
2030,Anvers,Antwerpen
2040,Antwerpen,Antwerpen
